star,title,link,decs
"4,2", 1.  Zalo - Nhắn gửi yêu thương ,https://play.google.com/store/apps/details?id=com.zing.zalo,VNG.Online
"3,9", 2.  Messenger ,https://play.google.com/store/apps/details?id=com.facebook.orca,Facebook
"4,4", 3.  Zing Mp3 ,https://play.google.com/store/apps/details?id=com.zing.mp3,Media MobileLabs
"4,0", 4.  Facebook ,https://play.google.com/store/apps/details?id=com.facebook.katana,Facebook
"4,0", 5.  WiFi Chìa khóa vạn năng (Chùa) ,https://play.google.com/store/apps/details?id=com.halo.wifikey.wifilocating,wifi.com
"4,7", 6.  Clean Master ,https://play.google.com/store/apps/details?id=com.cleanmaster.mguard,Cheetah Mobile
"4,5", 7.  DU Battery Saver & Widgets ,https://play.google.com/store/apps/details?id=com.dianxinos.dxbs,DU APPS STUDIO
"4,3", 8.  Camera360 Ultimate ,https://play.google.com/store/apps/details?id=vStudio.Android.Camera360,PinGuo Inc.
"4,1", 9.  iSwipe - Launcher、Speed、Boost ,https://play.google.com/store/apps/details?id=com.leo.iswipe,Leomaster Inc.
"4,7", 10.  CM An Ninh & Khóa ứng dụng ,https://play.google.com/store/apps/details?id=com.cleanmaster.security,Cheetah Mobile (AppLock & AntiVirus)
"4,4", 11.  My Talking Tom ,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree,Outfit7
"4,2", 12.  Facebook Lite ,https://play.google.com/store/apps/details?id=com.facebook.lite,Facebook
"4,3", 13.  NhacCuaTui ,https://play.google.com/store/apps/details?id=ht.nct,NCT Corporation
"4,5", 14.  360 Security Lite – Nhẹ hơn ,https://play.google.com/store/apps/details?id=com.qihoo.security.lite,360 Mobile Security Limited
"4,6", 15.  360 Security - Antivirus Boost ,https://play.google.com/store/apps/details?id=com.qihoo.security,360 Mobile Security Limited
"4,5", 16.  Duyệt UC - Lướt cực bốc ,https://play.google.com/store/apps/details?id=com.UCMobile.intl,UCWeb Inc.
"4,3", 17.  BeautyPlus - Magical Camera ,https://play.google.com/store/apps/details?id=com.commsource.beautyplus,"CommSource Technology Co., Ltd."
"4,4", 18.  My Talking Angela ,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree,Outfit7
"4,0", 19.  Tiến lên - tien len - ZingPlay ,https://play.google.com/store/apps/details?id=gsn.game.zingplaynew1,VNG - Game Studio North
"4,4", 20.  Zombie Tsunami ,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami,Mobigame S.A.R.L.
"4,4", 21.  Subway Surfers ,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,Kiloo
"4,3", 22.  PhotoWonder ,https://play.google.com/store/apps/details?id=cn.jingling.motu.photowonder,Baidu HK
"4,5", 23.  Đèn pin siêu sáng ,https://play.google.com/store/apps/details?id=com.surpax.ledflashlight.panel,Surpax Inc.
"4,4", 24.  Laban Key Gõ tiếng Việt ,https://play.google.com/store/apps/details?id=com.vng.inputmethod.labankey,VNG Online
"4,3", 25.  Minions Paradise™ ,https://play.google.com/store/apps/details?id=com.ea.gp.minions,ELECTRONIC ARTS
"4,3", 26.  Viber ,https://play.google.com/store/apps/details?id=com.viber.voip,Viber Media S.à r.l.
"4,3", 27.  Google Photos ,https://play.google.com/store/apps/details?id=com.google.android.apps.photos,Google Inc.
"4,3", 28.  Candy Crush Saga ,https://play.google.com/store/apps/details?id=com.king.candycrushsaga,King
"4,2", 29.  Tango: Gọi & Nhắn Tin Miễn Phí ,https://play.google.com/store/apps/details?id=com.sgiggle.production,Tango
"4,5", 30.  Chiến Cơ Huyền Thoại ,https://play.google.com/store/apps/details?id=com.garena.game.jetvn,Garena Games Online
"4,3", 31.  Temple Run 2 ,https://play.google.com/store/apps/details?id=com.imangi.templerun2,Imangi Studios
"4,5", 32.  DU Speed Booster (Cleaner) ,https://play.google.com/store/apps/details?id=com.dianxinos.optimizer.duplay,DU APPS STUDIO
"4,1", 33.  FPT Play - TV Online ,https://play.google.com/store/apps/details?id=com.fplay.activity,Công Ty Cổ Phần Viễn Thông FPT
"4,2", 34.  Gun Fu: Stickman 2 ,https://play.google.com/store/apps/details?id=com.dobsoftstudios.gunfustickman2,Dobsoft Studios
"4,4", 35.  Plants vs. Zombies FREE ,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row,ELECTRONIC ARTS
"4,4", 36.  EasyTouch Classic ,https://play.google.com/store/apps/details?id=com.shere.easytouch,SHEREWORKSHOP
"4,2", 37.  LINE:Gọi và nhắn tin miễn phí ,https://play.google.com/store/apps/details?id=jp.naver.line.android,LINE Corporation
"4,0", 38.  Onet Connect Animal ,https://play.google.com/store/apps/details?id=com.kits.projectp,KIT Studio
"4,1", 39.  Tien Len - Southern Poker ,https://play.google.com/store/apps/details?id=com.cherrylee.tienlen_multiplatform,Phuc Ly
"4,6", 40.  Zing TV ,https://play.google.com/store/apps/details?id=com.zing.tv3,Media MobileLabs
"4,6", 41.  iCasino - Game bài đổi thưởng ,https://play.google.com/store/apps/details?id=com.icasino.reltouser,LX Mobile
"4,5"," 42.  Solo Launcher- Gọn, Mượt, DIY ",https://play.google.com/store/apps/details?id=home.solo.launcher.free,Solo Launcher Team
"4,4", 43.  Despicable Me ,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM,Gameloft
"4,5", 44.  VivaVideo: Video biên tập ,https://play.google.com/store/apps/details?id=com.quvideo.xiaoying,QuVideo Inc.
"4,3", 45.  Thế giới di động ,https://play.google.com/store/apps/details?id=com.mwg.thegioididong,The Gioi Di Dong Mobile
"4,3", 46.  Yêu Hiệp Truyền Kỳ ,https://play.google.com/store/apps/details?id=com.yeuhiep.truyenkyhd,"MobileFun, Inc."
"4,5", 47.  Hola Launcher ,https://play.google.com/store/apps/details?id=com.hola.launcher,Holaverse
"4,2", 48.  Đồ Sát Mobile ,https://play.google.com/store/apps/details?id=com.apt.publish.dsm,GAMOTA
"4,6", 49.  Clash of Clans ,https://play.google.com/store/apps/details?id=com.supercell.clashofclans,Supercell
"4,2", 50.  Tiny Auto Shop - Car Wash Game ,https://play.google.com/store/apps/details?id=br.com.tapps.tinyautoshop,Tapps - Top Apps and Games
"4,4", 51.  Thiên Long Bát Bộ 3D ,https://play.google.com/store/apps/details?id=com.vng.tlbb3dm.vn,VNG Mobile Game Studio 2
"4,6"," 52.  CM Locker (thông báo, âm nhạc) ",https://play.google.com/store/apps/details?id=com.cmcm.locker,Cheetah Mobile (Secure Lockscreen)
"4,3", 53.  Mocha Messenger ,https://play.google.com/store/apps/details?id=com.viettel.mocha.app,Viettel Media Inc
"3,7", 54.  MOTO LOKO HD ,https://play.google.com/store/apps/details?id=com.foosegames.motolokohd,Foose Games
"4,5", 55.  Lich Van Nien - Lịch VN 2015 ,https://play.google.com/store/apps/details?id=vn.weplay.lichvannien,WePlay VN
"4,1", 56.  YouTube ,https://play.google.com/store/apps/details?id=com.google.android.youtube,Google Inc.
"4,4", 57.  Google Dịch ,https://play.google.com/store/apps/details?id=com.google.android.apps.translate,Google Inc.
"4,0", 58.  VTV Go ,https://play.google.com/store/apps/details?id=com.vtv.go2,VTV Digital Center
"4,2", 59.  Bubble Bust! HD Bubble Shooter ,https://play.google.com/store/apps/details?id=com.gameon.bubblebust,GAMEON
"4,3", 60.  Bắn Trứng Khủng Long ,https://play.google.com/store/apps/details?id=com.ecogame.eggshoot,Eco Game
